date,sku,units
2026-01-01,STABLE-001,10
2026-01-02,STABLE-001,11
2026-01-03,STABLE-001,10
2026-01-04,STABLE-001,9
2026-01-05,STABLE-001,10
2026-01-06,STABLE-001,12
2026-01-07,STABLE-001,10
2026-02-01,SEASON-001,4
2026-02-02,SEASON-001,5
2026-02-03,SEASON-001,20
2026-02-04,SEASON-001,18
2026-02-05,SEASON-001,22
2026-02-06,GROW-001,5
2026-02-20,GROW-001,10
2026-03-01,GROW-001,16
2026-03-12,STOCKOUT-001,10
2026-03-13,BULK-001,10
2026-03-14,BULK-001,11
2026-03-15,BULK-001,500
2026-03-16,BULK-001,9
2026-03-17,TRANSIT-001,20
